ID,SubStoryPac,StoryNum,AnswerLeftID,AnswerRightID,BG_ID,SFX_ID,CharacterName,Text_kr,Text_en,Back_ID,CharacterImg_ID,Font_Direction
10001,1000001,10000001,100001,100002,100000002,,1,“지…님…지휘…. 지휘관님”,,300000014,200000001,2000001
10002,1000001,10000001,100003,100004,100000002,1000000013,,분명 난 쇼파에 기대어 잠 들었을 터이다.그런데 내 눈앞에는 엉망이 된 진지와 나를 바라보는 부관이 있다.,,300000014,,2000001
10003,1000001,10000001,100005,100006,100000002,,1,“저메니의 기습이 시작 되었습니다. 지휘관님.지금 지휘관님의 지휘가 필요합니다. 병사들에게..”,,300000014,200000001,2000001
10004,1000001,10000001,100007,100008,100000002,,,“모두 무기들어라! 돌격하라!”나는 주위에 떨어져 나뒹굴고 있던 펄스 소총을 주워들고 큰소리로 소리쳤다.,,300000014,,2000001
10005,1000001,10000001,100009,100010,100000002,,,내 눈앞에 열압력 수류탄을 던지려는 저메니의 병사가 보인다.소총을 조준하여..,,300000014,,2000001
10006,1000001,10000001,100011,100012,100000002,1000000004,,펄스 에너지에 수류탄은 터져 들고 있던 병사의 상반신이 사라졌다.이제 병사들에게 지휘를 내려야 한다.,,300000014,,2000001
10007,1000001,10000001,100013,100014,100000002,1000000004,,다리를 맞은 병사는 몸의 중심이 기울며 수류탄을 든 채로 적진의 참호로 떨어졌고곧 큰 폭발음이 들렸다.,,300000014,,2000001
10008,1000001,10000001,100015,100016,100000002,,,병사들은 참호에 들어가 수류탄을 던지거나 소총을 위로 들어 적진을 향해 발포한다.,,300000014,,2000001
10009,1000001,10000001,100017,100018,100000002,,,적진에서 참호로 날아온 수류탄이 경쾌한 소리가 나며 떨어졌다.“이런..씨…”,,300000014,,2000001
10010,1000001,10000001,100019,100020,100000002,,,나와 병사들은 참호에서 뛰어나와 적진을 향해 뛰어간다.적진에서 쏟아지는 총알에 병사들이 하나 둘 쓰러졌다.,,300000011,,2000001
10011,1000001,10000001,100017,100018,100000002,1000000004,,잠시 시선을 돌렸다 앞을 보는 순간 총알이 눈앞까지 날아왔다.“이런..씨…”,,300000011,,2000001
10012,1000001,10000001,100021,100022,100000002,,,“모두 필요한 최소한만 챙겨서 이곳에서 벗어난다! 후퇴!”,,300000014,,2000001
10013,1000001,10000001,100023,100024,100000002,,,챙길건 모두 챙겼으니 퇴각을 해야겠다.,,300000014,,2000001
10014,1000001,10000001,100025,100026,100000002,,,“다들 안전이 우선이다! 고개숙이고 참호의 퇴로를 따라서 퇴각하도록!”,,300000014,,2000001
10015,1000001,10000001,100027,100028,100000002,,,나는 고개를 숙이고 참호를 지나며 보이는 수류탄을 머리위로 던져 보냈다.,,300000014,,2000001
10016,1000001,10000001,100029,100030,100000002,,,나는 머리위로 소총을 들고 참호 밖으로 발포했다.,,300000014,,2000001
10017,1000001,10000001,100017,100018,100000002,,,적진에서 참호로 날아온 수류탄이 경쾌한 소리가 나며 떨어졌다.“이런..씨…”,,300000014,,2000001
