ID,EndingString,PlayThrough,Karma_Rate,EndingCutScene_ID,BG_ID,SFX_ID,Text_Kr,Text_En,Direction,Fade_Out_Color
80001,2,1001,2000,,100000004,,전쟁은 프란츠 제국의 대승리로 끝나게 되었다.,,,
80002,2,1001,2000,,100000004,,전쟁 영웅이 된 나는 그 공을 인정받아 차세대 군무부 총리는 물론 공작의 백작의 작위까지 수여 받았다.,,,
80003,2,1001,2000,,100000004,,또한 전시 이후 상처를 치료하기 위해 폐허가 된 도시를 돌며 어떻게 다시 재건 할 것인지 사람들의 이야기를 듣게 되었다.,,,
80004,2,1001,2000,,100000004,,나는 진심으로 그들을 돕고 싶어 물심양면으로 그들을 지원하는 사업까지 하기 시작했다.,,,
80005,2,1001,2000,,100000004,,그렇게 바쁜 나날을 보내며 이제 슬슬 그 일들이 잊혀져 갈때 박사가 날 찾아왔다.,,,
80006,2,1001,2000,,100000004,,“지휘관. 오랜만이네. 전쟁이 끝나고 꽤나 바쁘게 지낸것 같네만.”,,,
80007,2,1001,2000,,100000004,,“예. 뭐 그래도 이전에 비하면 훨씬 낫죠.”,,,
80008,2,1001,2000,,100000004,,“어떻게 지내는가?”,,,
80009,2,1001,2000,,100000004,,“그냥.. 더 나은 사람이 되려고 노력하고 있죠. 늘 그랬듯이.”,,,
80010,2,1001,2000,,100000004,,“그래.. 지휘관. 전쟁이 끝나고 본 세상은 어떤가?”,,,
80011,2,1001,2000,,100000004,,“너무 많은 사람에게 상처를 남겼습니다. 그리고 저는 국민들을 지킨 전쟁 영웅이면서 동시에 많은 사람들을 죽인 살인마 입니다.”,,,
80012,2,1001,2000,,100000004,,“그래. 그건 어쩔 수 없는 부분 아닌가. 혹시 더 나은 결말을 만들 수 있다면.. 해 볼 텐가?”,,,
80013,2,1001,2000,,100000004,,“예. 어렴풋이 내가 해볼 수 있지 않을까 생각이 들었습니다만..”,,,
80014,2,1001,2000,,100000004,,“그렇지만 뭐가 걸리는가? 지휘관.”,,,
80015,2,1001,2000,,100000004,,“그 끔찍한 경험을 또 하고 싶지 않다는 생각이 있습니다.”,,,
