ID,BG,SoundEffect,CharacterName,CharacterImage,IsFinishString,String_kr
10001,CommandCenter,,1,Aide_Idle,0,"오늘은 어떤 일을 시행하시겠습니까?"
10002,CommandCenter,,1,Aide_Idle,1,"즉시 보급고 재고파악을 실시하겠습니다."
10003,CommandCenter,,1,Aide_Idle,1,"알겠습니다. 병사들의 군기 점검을 위해 군기 테스트를 실시하겠습니다."
10004,CommandCenter,,5,Suitman_Idle,0,"안녕하십니까 사령관님. 저희 의원님께서 사령관님에게 개인적인 선물을 보내셨습니다."
10005,CommandCenter,,5,Suitman_Idle,1,"…이런…마음에 들지 않으신가 보군요. 다음에 오겠습니다."
10006,CommandCenter,,5,Suitman_Smile,1,"감사합니다! 부디 다음에도 좋은 만남이 있길 고대하겠습니다!"
10007,CommandCenter,,4,Soldier_Idle,0,"사령관님, 정찰 결과를 보고드립니다. 인근 산에서 사람의 흔적이 발견되었습니다."
10008,CommandCenter,,4,Soldier_Idle,1,"알겠습니다. 즉시 병사들을 파견하여 수색작전을 실시하겠습니다."
10009,CommandCenter,,4,Soldier_Idle,1,"알겠습니다. 현 시간부로 정찰 임무를 마치겠습니다."
10010,CommandCenter,,6,Reporter_Idle,0,"안녕하십니까 사령관님. 저는 종군기자 입니다. 혹시 이번 전쟁에 대한 소감을 한마디 말씀해 주실 수 있습니까?"
10011,CommandCenter,,6,Reporter_Idle,1,"투지가 넘치시는군요! 답변 감사합니다!"
10012,CommandCenter,,6,Reporter_Idle,1,"역시 현장에 있는 군인의 답변이군요! 감사합니다!"
10013,CommandCenter,,3,Louie_Idle,0,"사령관, 이번 전쟁에 대해 어떻게 생각하는가?"
10014,CommandCenter,,3,Louie_Idle,1,"그런가, 자네의 생각은 잘 알겠네. 이 이야기는 어디까지나 자네와 나만의 이야기로 하지."
10015,CommandCenter,,4,Soldier_Idle,0,"사령관님, 현재 보급품이 많이 떨어졌습니다."
10016,CommandCenter,,4,Soldier_Idle,1,"알겠습니다. 하지만 물자는 중대사항이니, 보급을 요청드립니다."
10017,CommandCenter,,4,Soldier_Idle,1,"어떻게 이렇게 많은 물자를…감사합니다 사령관님!"
10018,CommandCenter,,4,Soldier_Idle,1,"아….아닙니다. 사령관님의 잘못이 아닙니다. 병사들에게는 최대한 아끼라고 전파하겠습니다."
10019,CommandCenter,,1,Aide_Idle,0,"사령관님, 최근 정치인들이 만남을 요청하고 있습니다. 요청들을 수락할까요?"
10020,CommandCenter,,1,Aide_Idle,1,"알겠습니다. 일정을 조율 해 보겠습니다."
10021,CommandCenter,,1,Aide_Idle,1,"알겠습니다. 지금은 작전에 집중할 때라고 거절해 두겠습니다."
10022,CommandCenter,,2,DrSchrodinger_Idle,0,"안녕하신가 사령관. 자네 상태는 어떤가?"
10023,CommandCenter,,2,DrSchrodinger_Idle,1,"처음 겪는 현상이니 그럴 수 있지. 그래도 문제가 있는 것 같진 않으니 이만 가보겠네."
10024,CommandCenter,,2,DrSchrodinger_Idle,1,"그거 참 다행이군. 앞으로도 힘내주게."
10025,CommandCenter,,2,DrSchrodinger_Idle,0,"안녕하신가 사령관. 이번에는 상태가 어떤가?"
10026,CommandCenter,,2,DrSchrodinger_Idle,1,"처음이 아닌데 이런 반응이라니, 꽤나 아쉽군 그래."
10027,CommandCenter,,2,DrSchrodinger_Idle,1,"그래, 이번에는 원하는 결과를 얻길 바라겠네."
10028,CommandCenter,,4,Soldier_Idle,0,"사령관님, 최근들어 병사들의 사기가 좋지 않습니다."
10029,CommandCenter,,4,Soldier_Idle,1,"죄송합니다, 시정하겠습니다."
10030,CommandCenter,,4,Soldier_Idle,1,"알겠습니다. 다른 병사들에게도 공지하겠습니다."
10031,CommandCenter,,1,Aide_Idle,0,"사령관님, 이번 정치 행사에 참여하실 예정이십니까?"
10032,CommandCenter,,1,Aide_Idle,1,"알겠습니다. 그럼 참가 희망으로 회신을 보내겠습니다."
10033,CommandCenter,,1,Aide_Idle,1,"알겠습니다. 행사 참여에는 거절하는 것 으로 회신을 보내겠습니다."
10034,CommandCenter,,1,Aide_Idle,0,"최근들어 보급이 몇개씩 사라지는 것 같습니다. 범인을 색출할까요?"
10035,CommandCenter,,1,Aide_Idle,1,"따로 죄를 추궁하지 않으시겠다는 겁니까? 일단은…알겠습니다."
10036,CommandCenter,,1,Aide_Idle,1,"즉시 범인을 색출해내겠습니다."
10037,CommandCenter,,1,Aide_Idle,0,"최근 병사의 수가 적어진 것 같습니다. 이번 기회에 모병을 실시하는게 어떠십니까?"
10038,CommandCenter,,1,Aide_Idle,1,"알겠습니다. 즉시 모병 공고를 올려보겠습니다."
10039,CommandCenter,,1,Aide_Idle,1,"모병 공고는 올리지 않겠습니다. 다만 인원 충당을 유념해 주시길 바랍니다."
10040,CommandCenter,,5,Suitman_Idle,0,"안녕하십니까 사령관님, 이번에 저희 의원님께서 외부 행사가 있는데 동행해 주시겠습니까?"
10041,CommandCenter,,5,Suitman_Idle,1,"이런, 바쁘신 모양이군요. 다음을 기약하겠습니다."
10042,CommandCenter,,5,Suitman_Idle,1,"감사합니다. 의원님께서도 흡족해 하실겁니다."
